german,english1,english2
Ich habe meinem Großvater väterlicherseits zu seinem achtundachtzigsten Geburtstag einen Schal geschenkt .,I bought a scarf for my grandfather on my father 's side for his 88th birthday .,I gave my father a scarf for his eighty @-@ eight birthday .
"Sam , was machst du gerade ?","Sam , what are you doing ?","Sam , what are you doing ?"
"Was mich betrifft , ich habe keine Einwände gegen den Plan .","As far as I am concerned , I have no objection to the plan .","As far as I am concerned , I have no objections to the plan ."
Wie kommt ihr nach Mailand ?,How are you going to Milan ?,How do you get to Milan ?
Ich kann es nicht ganz verstehen .,I can 't quite understand .,I can 't quite understand it .
Ich bin des Englischen überdrüssig .,I 'm sick of English .,I 'm tired of English .
Tom und Maria spielten Verstecken .,Tom and Mary played hide @-@ and @-@ go @-@ seek .,Tom and Maria played hide and seek .
Ich werde morgen früh vorbeischauen .,I 'll pop in tomorrow morning .,I 'll stop by in the morning .
Ich bekam letzte Woche einen Brief auf Französisch .,I received a letter in French last week .,I got a letter in French last week .
Das ist meine Geschäftsadresse .,This is my business address .,This is my business address .
Tom mag meine Witze .,Tom likes my jokes .,Tom likes my jokes .
Ich komme zurück .,I 'm coming back .,I 'll be back .
Jeans passen zu allem .,Jeans go with everything .,Jeans match everything .
Er ist in dieses Mädel verknallt .,He has a crush on this girl .,He 's in love with this girl .
Das ist ein berechtigter Gesichtspunkt .,This is a valid point of view .,That is a legitimate point of view .
Tom wird höchstwahrscheinlich als erster kommen .,Tom will most likely be the first one to show up .,Tom will most likely be the first to come .
Tom irrt sich .,Tom is wrong .,Tom 's wrong .
Er ist wie auch ich ein Mitglied des Clubs .,He as well as I is a member of the club .,"He 's a member of the club , like me ."
"Du warst während des Krieges Soldat , oder ?","You were a soldier during the war , right ?","You were a soldier during the war , right ?"
""" Wessen Schmuck ist das ? "" - "" Das ist der von Taninna "" .",""" Whose jewels are these ? "" "" They are Taninna 's . """,""" Whose jewelry is this ? "" - "" This is the one of Taninna . """
Ich bin Esperantoanfänger .,I am a beginner in Esperanto .,I 'm an esperantoan .
Komm her und sieh selbst .,Come and look for yourself .,Come here and see for yourself .
"Ich erinnere mich , das Buch gelesen zu haben .",I remember reading the book .,I remember reading the book .
Schaue ihn an .,Look at him .,Look at him .
"Tom hat keine Ahnung , was aus Mary geworden ist .",Tom has no idea what has become of Mary .,Tom has no idea what happened to Mary .
"Tom sagte mir , dass er enttäuscht sei .",Tom told me that he was disappointed .,Tom told me he was disappointed .
"Er macht das gut , wenn man bedenkt , dass er damit keinerlei Erfahrung hat .",He does well considering that he has no experience .,"He 's doing well , considering he has no experience with it ."
Tom ist nicht dort drin .,Tom isn 't in there .,Tom 's not in there .
"Sie heirateten , als sie noch jung waren .",They got married when they were still young .,They got married when they were young .
Braucht ihr Hilfe ?,Do you need help ?,Do you need help ?
"Krieger ruhen erst , wenn sie den Sieg errungen haben . Du hast noch einen Kampf auszutragen , und das ist der schwierigste von allen .","Warriors only rest when they have won the victory . You have still another battle to fight , and it is the hardest of all .","Warriors don 't rest until they win , and you have a fight to do , and that 's the most difficult of them ."
Ich fand es am Anfang gewöhnungsbedürftig .,In the beginning I found it hard to get used to .,I found it necessary at the beginning .
"Ich habe dich doch gebeten , nicht damit zu spielen .",I asked you not to play with that .,I asked you not to play with it .
"Tom und Maria sagten Johannes , sie hielten Elke für allzu selbstsicher .",Tom and Mary told John that they thought Alice was overconfident .,Tom and Mary told John that they thought Elke was too self @-@ confident .
Tom schüttelte verständnislos mit dem Kopf .,Tom shook his head uncomprehendingly .,Tom shook his head ununderstandably .
"Ich freue mich , dass ich sie sehe .",I am glad to see her .,I 'm glad I see her .
Kann ich mir dein Auto leihen ?,Can I borrow your car ?,Can I borrow your car ?
Machen wir es uns einfach !,Let 's make it simple .,Let 's just do it !
"Ich wollte nicht , dass das so barsch klingt .",I didn 't mean to sound so harsh .,I didn 't want it to sound so bad .
Tom zog seine Schuhe und seine Socken aus .,Tom took his shoes and socks off .,Tom took off his shoes and his socks .
Tom mag Schokolade .,Tom likes chocolate .,Tom likes chocolate .
Ich habe eine Herzkönigin .,I 've got a queen of hearts .,I have a heart queen .
"Bleibe dort , und bewege dich nicht !",Stay there and don 't move !,Stay there and don 't move !
Tom isst zu hastig .,Tom eats too fast .,Tom 's eating too fast .
"Tom war einsam und wünschte sich jemanden , mit dem er reden konnte .",Tom was lonely and wished he had someone to talk to .,Tom was lonely and wanted someone to talk to .
"Was ist dein Grund , dass du zu spät zur Arbeit kommst ?",What is your reason for your being late to work ?,What 's your reason you 're late for work ?
"Zeigen Sie mir , wie man ein Kinderbett aufstellt ?",Will you show me how to set up a cot ?,Can you show me how to put a cot on ?
Sie nahm die Papiere vom Schreibtisch weg .,She removed the papers from the desk .,She took the papers away from the desk .
"Du hast doch gesehen , was Tom getan hat , oder ?","You saw what Tom did , didn 't you ?","You saw what Tom did , didn 't you ?"
"Ich kann dafür sorgen , dass das nie mehr passiert .",I can make sure that doesn 't happen again .,I can make sure this never happens again .
Tom zögerte eine Weile .,Tom hesitated for a while .,Tom hesitated for a while .
Du wärest ein guter Anwalt .,You 'd make a good lawyer .,You 'd be a good lawyer .
Du solltest dein Auto waschen .,You should wash your car .,You should wash your car .
Welches Team wird am wahrscheinlichsten gewinnen ?,Which team will most likely win ?,Which team will most likely win ?
Was steht auf dem roten Schild ?,What does the red plaque say ?,What 's on the red sign ?
Tom ist nur knapp dem Tod entkommen .,Tom narrowly escaped death .,Tom just got away from death .
Alle Klubmitglieder waren meiner Meinung .,All the members of the club agreed with me .,All the club members agreed with me .
Waren Sie schon mal in Boston ?,Have you been to Boston before ?,Have you ever been to Boston ?
Er ist seit drei Jahren in Japan .,He has been in Japan for three years .,He 's been in Japan for three years .
Lass Tom das machen .,Let Tom do this .,Let Tom do it .
Tom hat mich geschlagen .,Tom slapped me .,Tom hit me .
"Als ich zum Garten hinunterging , waren zwei kleine Mädchen dabei , Gänseblümchen zu pflücken .","When I went down to the garden , two little girls were picking daisies .","When I went down to the garden , two little girls were picking daisies ."
"Tom und Maria sagten Johannes , sie glaubten , Elke könne das .",Tom and Mary told John that they thought Alice could do that .,Tom and Mary told John they believed Elke could .
Am Freitagabend wird eine Tanzveranstaltung in der Oberschule stattfinden .,There will be a dance Friday night at the high school .,"On Friday evening , a dance event will take place in the high school ."
Ich muss immer an das gestohlene Geld denken .,I cannot stop thinking of the stolen money .,I always have to think about the stolen money .
Die Geschichte berührte uns zutiefst .,The story affected us deeply .,History touched us deeply .
Du musst den ersten Schritt tun .,You have to take the first step .,You have to take the first step .
Tom grinste sie an .,Tom grinned at her .,Tom grinned at her .
"Löwen , Wölfe , Elefanten und Pferde sind alle Tiere .","Lions , wolves , elephants , and horses are all animals .","Lions , wolves , elephants and horses are all animals ."
"Alles , was ich dir erzählt habe , ist die Wahrheit .",Everything I told you is the truth .,All I told you is the truth .
"Wir träumten von fünftausend Abonnenten , doch es gelang uns kaum ein Zehntel dieser Zahl zu erreichen .",We dreamed of five thousand subscribers but instead succeeded with a mere tenth of this number .,"We dreamt of five thousand subscribers , but we were barely able to reach a tenth of this number ."
"Sie haben das Recht , einen Anwalt hinzuzuziehen .",You have the right to consult a lawyer .,You have the right to be a lawyer .
Ich steckte im Verkehr fest .,I was caught in traffic .,I was stuck in traffic .
Ich bin Fußballbegeisterter .,I am fan of football .,I 'm a football enthusiast .
Du kannst die Nacht hierbleiben ; es ist kein Thema .,You can stay the night here ; there is no problem .,You can stay here the night ; it 's not a topic .
Ich bin letzten Montag angeln gegangen .,I went fishing last Monday .,I went fishing last Monday .
Der Polizist wollte den Verdächtigen einfach nicht loslassen .,The policeman wouldn 't let go of the suspect .,The police officer just didn 't want to let go of the suspect .
Susan hört gerne Musik .,Susan enjoys listening to music .,Susan likes to hear music .
Tom nahm sich einen Teller .,Tom grabbed a plate .,Tom took a plate .
Die letzte Seite dieses Buches fehlt .,The last leaf of this book is missing .,The last page of this book is missing .
Diese neuen Fahrzeuge stehen zum Verkauf .,These new cars are on sale .,These new vehicles are for sale .
Er hat sie glücklich gemacht .,He made her happy .,He made her happy .
Tom ist jetzt 13 Jahre alt .,Tom is now thirteen .,Tom is now 13 years old .
Ich hatte eine Unterhaltung mit Tom .,I had a talk with Tom .,I had a conversation with Tom .
Tom hing den Schmuck an den Weihnachtsbaum .,Tom hung the ornaments on the Christmas tree .,Tom hung the jewelry on the Christmas tree .
Tom war verwirrt .,Tom felt confused .,Tom was confused .
"Was ich wissen will , ist , was passierte und warum .",What I want is to know what happened and why .,What I want to know is what happened and why .
Hat Tom es geschafft ?,Did Tom make it ?,Did Tom make it ?
"Weniger quatschen , mehr handeln !","Less words , more action .","Less talk , more act !"
Hast du schon einmal während einer Prüfung betrogen ?,Have you ever cheated on an exam ?,Have you ever cheated on a test before ?
"Ich darf nicht vergessen , diesen Brief abzuschicken .",I must remember to mail this letter .,I must not forget to send this letter .
"Ich weiß , dass Sie es für eine Dummheit halten , das zu machen , aber ich habe trotzdem vor , es zu tun .","I know you think this is a stupid thing to do , but I plan to do it anyway .","I know you think it 's a stupid thing to do , but I 'm still planning on doing it ."
Ich habe zu schnell über dich geurteilt .,I judged you too quickly .,I 've been judging you too fast .
Man schlage die Eier auf und trenne den Dotter vom Eiklar .,Break the eggs and separate the yolks and whites .,You hit the eggs and cut off the dotter from the oak .
